Large Language Model,Compilation Fail,JPF Fail,Passes,Passing Rate,CodeBLEU
claude-opus-4-1-20250805,0,16,27,27/43 (62.79%),0.588989
codellama:34b,35,8,0,0/43 (0.00%),0.445282
codeqwen:7b,26,11,6,6/43 (13.95%),0.466210
codestral:22b,16,11,16,16/43 (37.21%),0.487755
deepseek-r1:32b,18,13,12,12/43 (27.91%),0.548819
dolphin3:8b,25,8,10,10/43 (23.26%),0.511915
gemma2:27b,22,9,12,12/43 (27.91%),0.486252
gpt-4o,6,14,23,23/43 (53.49%),0.563879
gpt-5,4,8,31,31/43 (72.09%),0.585806
llama3.3:70b,15,8,20,20/43 (46.51%),0.515749
llava:34b,37,2,4,4/43 (9.30%),0.483585
magicoder:7b,28,8,7,7/43 (16.28%),0.445733
mistral:7b,34,7,2,2/43 (4.65%),0.514027
mixtral:8x7b,18,12,13,13/43 (30.23%),0.515187
opencoder:8b,18,10,15,15/43 (34.88%),0.492801
phi4:14b,17,7,19,19/43 (44.19%),0.554407
phind-codellama:34b,19,13,11,11/43 (25.58%),0.461113
qwen3:32b,10,15,18,18/43 (41.86%),0.534481
starcoder2:15b,28,12,3,3/43 (6.98%),0.346492
vicuna:33b,35,3,5,5/43 (11.63%),0.446508
wizardcoder:33b,13,15,15,15/43 (34.88%),0.481291
zephyr:7b,40,1,2,2/43 (4.65%),0.525565
